Module No,Module Nsme,"Complexity (Beginner, Standard, Expert)",Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Explanation,,,,,,,,,,,,
14,Insurance Service Result,Expert,"When disaggregating the change in the risk adjustment for non-financial risk, what is required?",Mandatory allocation between finance and service result,No allocation is permitted,"Optional disaggregation; otherwise, include fully in the insurance service result",Include entirely in finance income,"Optional disaggregation; otherwise, include fully in the insurance service result","If not disaggregated, the entire change is included in the insurance service result (Paragraph 82).",,,,,,,,,,,,
14,Insurance Service Result,Standard,Which component may NOT be presented in profit or loss?,Premium information inconsistent with Paragraph 83,Insurance service expenses,Reinsurance income,Risk adjustment,Premium information inconsistent with Paragraph 83,Premium information should not be presented if inconsistent with how revenue is defined under Paragraph 83.,,,,,,,,,,,,
14,Insurance Service Result,Standard,What options does an entity have for presenting reinsurance contracts held?,Only as a single net amount,Only as individual line items,Either as a net amount or split into recovered amounts and premium allocations,As part of investment income,Either as a net amount or split into recovered amounts and premium allocations,An entity may present a net amount or separate amounts (recoveries and premium allocations) as long as they total the same net amount.,,,,,,,,,,,,
14,Insurance Service Result,Standard,"Under the Premium Allocation Approach (PAA), what is insurance revenue generally similar to?",Earned premium,Written premium,Total premiums received,Premium receivable,Earned premium,"Under PAA, insurance revenue is generally similar to earned premium over the coverage period.",,,,,,,,,,,,
14,Insurance Service Result,Expert,"Under the General Measurement Model (GMM), which of the following is NOT part of insurance service revenue?",Release of the Contractual Service Margin (CSM),Investment returns,Risk adjustment for non-financial risk,Recovery of acquisition cash flows,Investment returns,"Investment returns are excluded; insurance service revenue includes items such as CSM release, risk adjustment, and acquisition cash flow recovery.",,,,,,,,,,,,
14,Insurance Service Result,Standard,What are “losses on onerous contracts” classified as under IFRS 17?,Investment finance expenses,Deferred income,Premium liability,Insurance service expenses,Insurance service expenses,Losses on onerous contracts are part of insurance service expenses as they relate to future service obligations.,,,,,,,,,,,,
14,Insurance Service Result,Standard,What does IFRS 17 aim to achieve by separating service result and finance result?,Enhanced transparency and comparability,Compliance with local GAAP,Tax optimization,Maximizing investment returns,Enhanced transparency and comparability,IFRS 17 aims to enhance transparency and comparability by clearly separating insurance services from financial effects.,,,,,,,,,,,,
14,Insurance Service Result,Standard,What is the treatment of reinsurance-related cash flows contingent on claims?,Deferred revenue,Presented as part of claims recoverable,Included in insurance finance income,Excluded from the financial statements,Presented as part of claims recoverable,Such cash flows are presented as part of expected claims to be reimbursed under the reinsurance contract (Paragraph 86(a)).,,,,,,,,,,,,
14,Insurance Service Result,Expert,What is the effect of the reversal of losses on onerous contracts?,Increase in insurance finance income,Reduction in insurance service revenue,Decrease in liabilities and increase in insurance service result,Increase in insurance acquisition costs,Decrease in liabilities and increase in insurance service result,A reversal of losses on onerous contracts reduces liabilities and increases the insurance service result (Paragraph 84(c)).,,,,,,,,,,,,
15,Insurance Service Result,Standard,Insurance service result primarily reflects:,Financial market performance,Underwriting performance,Asset allocation decisions,Liquidity management,Underwriting performance,Insurance Service result isolates the performance of insurance services.,,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,What are Insurance Finance Income or Expenses (IFIE)?,Premiums and claims,Acquisition costs and investment income,Changes in non-financial assumptions,Time value of money and financial risk impacts,Time value of money and financial risk impacts,"IFIE represent changes in the carrying amount of insurance contracts due to the effect of the time value of money and financial risk, such as interest accretion and changes in discount rates.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,How can IFIE be presented in the statement of financial performance?,Either fully in P&L or disaggregated between P&L and OCI,Only in Profit or Loss (P&L),Only in Other Comprehensive Income (OCI),Only in the notes to the financial statements,Either fully in P&L or disaggregated between P&L and OCI,"IFRS 17 allows a policy choice: present all IFIE in P&L or disaggregate them between P&L and OCI, depending on the approach selected.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,Are there any exceptions to the general treatment of IFIE?,No exceptions,"Yes, for reinsurance contracts","Yes, for insurance contracts with direct participation features and certain assumptions that would adjust CSM but don’t","Yes, if the policyholder is a related party","Yes, for insurance contracts with direct participation features and certain assumptions that would adjust CSM but don’t","IFRS 17 excludes from IFIE those changes in financial assumptions that would adjust the contractual service margin (CSM) but do not do so due to application of specific paragraphs (45(b)(ii), etc.).",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,"If the entity chooses to disaggregate IFIE between P&L and OCI, how should the disaggregation be made?",Based on actual market returns,Using a locked-in discount rate to allocate a portion to P&L,Arbitrarily,Based on revenue recognition patterns,Using a locked-in discount rate to allocate a portion to P&L,A systematic allocation using a locked-in discount rate at initial recognition is applied. The portion not recognized in P&L is reported in OCI.,,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,How should IFIE recorded in OCI be treated when a group of insurance contracts is transferred or derecognized (per paragraph 91)?,They are reversed in the next period,They are transferred to equity,They are reclassified to P&L if Option 2 under paragraph 88 was applied,They remain in OCI permanently,They are reclassified to P&L if Option 2 under paragraph 88 was applied,"If the disaggregation under paragraph 88(b) was used, the remaining OCI balance is reclassified to P&L as a reclassification adjustment.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,How should exchange differences on changes in the carrying amount of groups of insurance contracts be treated?,Always in OCI,Always in equity,Not recognized,"In P&L unless they relate to OCI-recorded IFIE, in which case they go to OCI","In P&L unless they relate to OCI-recorded IFIE, in which case they go to OCI","Under IAS 21, insurance contracts are monetary items. Exchange differences are included in P&L, except when they relate to amounts in OCI (then they stay in OCI).",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,Which component is typically included in the effect of the time value of money under IFIE?,Expected claims,Acquisition costs,Interest accretion on insurance liabilities,Reinsurance asset recoveries,Interest accretion on insurance liabilities,"Interest accretion reflects the unwinding of the discount on insurance liabilities, part of the time value of money in IFIE.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,Which of the following best describes the treatment of IFIE for contracts with direct participation features?,Must always be presented in OCI,May be presented to eliminate mismatches with underlying items,Not applicable to participating contracts,Must always be presented in P&L,May be presented to eliminate mismatches with underlying items,Entities can choose to disaggregate IFIE in a way that eliminates accounting mismatches with underlying items.,,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,"If a group of contracts is derecognized and IFIE has been disaggregated under paragraph 89(b), what happens to amounts in OCI?",Remain in OCI,Transferred to P&L,Reversed,Transferred to retained earnings,Remain in OCI,"Under paragraph 91(b), OCI amounts from paragraph 89(b) are not reclassified to P&L.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,What type of financial risk would be reflected in IFIE?,Lapse risk,Currency risk,Inflation risk,Equity or interest rate risk impacting discount rates,Equity or interest rate risk impacting discount rates,"IFIE includes effects of financial risk, such as interest rate or equity risk, which influence the present value of insurance liabilities.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,Why might an entity choose to disaggregate IFIE between P&L and OCI?,To smooth earnings volatility,To avoid recognizing claims,To increase policyholder bonuses,To reduce insurance liabilities,To smooth earnings volatility,Disaggregation helps reduce volatility in P&L from market-driven movements in discount rates and financial assumptions.,,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,Which paragraph of IFRS 17 allows IFIE disaggregation for non-participating contracts?,Paragraph 30,Paragraph 88,Paragraph 45,Paragraph 135,Paragraph 88,Paragraph 88 provides the accounting policy choice for disaggregating IFIE for non-participating contracts.,,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Standard,"When an entity opts to recognize all IFIE in P&L, the impact on OCI is",Neutral (no impact),Positive,Negative,Deferred to future periods,Neutral (no impact),"If all IFIE are recognized in P&L, there is no effect on OCI.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,Which type of insurance contract is most likely to involve disaggregation based on underlying item performance?,Group term life insurance,Non-participating whole life,Universal life insurance with direct participation features,Reinsurance contracts held,Universal life insurance with direct participation features,"Contracts with direct participation features (e.g., universal life tied to asset performance) often use disaggregation aligned with underlying items.",,,,,,,,,,,,
15,Insurance Finance Income or Expenses,Expert,IFIE disaggregation for DPF contracts mainly aims to:,Maximize equity,Eliminate accounting mismatches,Reduce capital requirements,Increase revenue,Eliminate accounting mismatches,"By choosing to disaggregate, the insurer can ensure that the finance income/expenses recognized in the P&L match the income/expenses produced by the assets backing those contracts.",,,,,,,,,,,,
